Hostname,Reverse Hostname,gWMS GRAM,gWMS HTC,BDII GRAM,BDII HTC,CE-Collector,Gratia,Assigned to Contact,Notes from Contact
carter-osg.rcac.purdue.edu,edu.purdue.rcac.carter-osg,2015-11-24,2016-04-10,2015-11-20,2016-03-10,2016-03-09,,Elizabeth,[from TC: note the dates - this host appears to have transitioned between 11/24 and 12/8!] Yay!
rossmann-osg.rcac.purdue.edu,edu.purdue.rcac.rossmann-osg,,,2015-12-08,,,,Elizabeth,
antaeus.hpcc.ttu.edu,edu.ttu.hpcc.antaeus,2016-04-10,,2015-12-08,2016-03-10,,,Elizabeth,
gluskap.phys.uconn.edu,edu.uconn.phys.gluskap,2016-04-10,,,,,,Elizabeth,
osg-gw-7.t2.ucsd.edu,edu.ucsd.t2.osg-gw-7,2015-12-08,2016-04-10,2015-12-08,2016-03-10,2016-03-09,,Elizabeth,
grow-grid.its.uiowa.edu,edu.uiowa.its.grow-grid,2016-04-10,,,,,,Elizabeth,
gc1-ce.spa.umn.edu,edu.umn.spa.gc1-ce,,,2016-03-10,,,,Elizabeth,
cmsosgce3.fnal.gov,gov.fnal.cmsosgce3,2015-12-08,2016-04-10,,2015-12-08,2016-03-09,,Elizabeth,
fermigridosg1.fnal.gov,gov.fnal.fermigridosg1,2015-12-08,,,,,,Elizabeth,
fnpcosg1.fnal.gov,gov.fnal.fnpcosg1,2016-04-10,,2016-03-03,,,,Elizabeth,
proton.fis.cinvestav.mx,mx.cinvestav.fis.proton,2016-04-10,,2016-03-10,,,,Elizabeth,
itbv-ce-condor.mwt2.org,org.mwt2.itbv-ce-condor,,,2015-12-08,2016-03-10,,,Elizabeth,
itbv-ce-pbs.mwt2.org,org.mwt2.itbv-ce-pbs,,,2016-03-10,,,,Elizabeth,
vtbv-ce.mwt2.org,org.mwt2.vtbv-ce,,,2015-12-08,2016-03-10,,,Elizabeth,
osg-ce.grid.uj.ac.za,za.ac.uj.grid.osg-ce,,,2016-03-10,,,,Elizabeth,
tier3-atlas1.bellarmine.edu,edu.bellarmine.tier3-atlas1,,,2016-03-10,,,,Vince,Left VM
heposg01.colorado.edu,edu.colorado.heposg01,2016-04-10,,2016-03-10,,2016-03-09,,Vince,Left VM
nys1.cac.cornell.edu,edu.cornell.cac.nys1,2016-04-10,,2016-03-10,,,,Vince,Left VM
net2.rc.fas.harvard.edu,edu.harvard.fas.rc.net2,2015-11-13,,2016-03-10,2015-12-08,2016-03-09,,Vince,Rapid Busy Signal - Need to email
umiss001.hep.olemiss.edu,edu.olemiss.hep.umiss001,2016-04-10,,2015-12-08,2016-03-10,2016-03-09,,Vince,I spoke to David who reported that transitioning is definitely on the radar but not in the near future.  He is currently working on other issues at the university.  David also reported that he installs updates fairly regularly via the normal yum update mechanisms.
conte-osg.rcac.purdue.edu,edu.purdue.rcac.conte-osg,,,2015-12-08,,,,Vince,This resource is listed as Inactive in OIM
hadoop-osg.rcac.purdue.edu,edu.purdue.rcac.hadoop-osg,2015-12-08,2016-04-10,2015-12-08,2016-03-10,2016-03-09,,Vince,
ruhex-osgce.rutgers.edu,edu.rutgers.ruhex-osgce,2016-04-10,,2016-03-10,,,,Vince,
cms.tier3.ucdavis.edu,edu.ucdavis.tier3.cms,2016-04-10,,2016-03-10,,,,Vince,
cms.rc.ufl.edu,edu.ufl.rc.cms,,2016-04-10,2016-03-10,2016-03-10,2016-03-09,,Vince,
gk04.swt2.uta.edu,edu.uta.swt2.gk04,2016-04-10,,2016-03-10,,,,Vince,
ce1.accre.vanderbilt.edu,edu.vanderbilt.accre.ce1,,2016-04-10,2016-03-10,,,,Vince,
ce2.accre.vanderbilt.edu,edu.vanderbilt.accre.ce2,,2016-04-10,2016-03-10,,,,Vince,
carvergrid.nersc.gov,gov.nersc.carvergrid,2016-04-10,,,,,,Vince,
gk01.atlas-swt2.org,org.atlas-swt2.gk01,2016-04-10,,2016-03-10,,,,Vince,
osg.rc.ufl.edu,edu.ufl.rc.osg,,2016-04-10,2016-03-10,2016-03-10,2016-03-09,,Vince,
ce.grid.unesp.br,br.unesp.grid.ce,2016-04-10,,2016-03-10,,,,Vince,Need to email (OCONUS)
osg-ce.sprace.org.br,br.org.sprace.osg-ce,,2016-04-10,,2016-03-10,,,,
ce503.cern.ch,ch.cern.ce503,,2016-04-10,,,,,,
ce504.cern.ch,ch.cern.ce504,,2016-04-10,,,,,,
atlas-hub.bu.edu,edu.bu.atlas-hub,,,,2016-03-10,,,,
xeon.hep.caltech.edu,edu.caltech.hep.xeon,,2015-12-08,,2016-03-10,2015-11-24,,,
osg-ce.clemson.edu,edu.clemson.osg-ce,,2016-04-10,,2016-03-10,2016-03-09,,,
hepitb01.colorado.edu,edu.colorado.hepitb01,,,,2015-12-08,,,,
hpcosgce.fiu.edu,edu.fiu.hpcosgce,,2016-04-10,,,2016-03-09,,,
ligo-ce1.pace.gatech.edu,edu.gatech.pace.ligo-ce1,,2016-04-10,,,2016-03-09,,,
mwt2-gk.campuscluster.illinois.edu,edu.illinois.campuscluster.mwt2-gk,,2016-04-10,,2016-03-10,2016-03-09,,,
osg-ce.beocat.cis.ksu.edu,edu.ksu.cis.beocat.osg-ce,,2016-04-10,,2015-12-08,,,,
luhepce.lunet.edu,edu.lunet.luhepce,,,,,2016-03-09,,,
lutgw1.lunet.edu,edu.lunet.lutgw1,,,,2016-03-10,2016-03-09,,,
ce01.cmsaf.mit.edu,edu.mit.cmsaf.ce01,,2016-04-10,,2016-03-10,2016-03-09,,,
ce02.cmsaf.mit.edu,edu.mit.cmsaf.ce02,,2016-04-10,,2016-03-10,2016-03-09,,,
t3serv007.mit.edu,edu.mit.t3serv007,,,,,2016-03-09,,,
ndcms.crc.nd.edu,edu.nd.crc.ndcms,,2015-12-08,,2015-11-20,,,,
opteron03.crc.nd.edu,edu.nd.crc.opteron03,,,,2016-03-10,,,,
numep-grid1.research.northwestern.edu,edu.northwestern.research.numep-grid1,,2016-04-10,,2016-03-10,2016-03-09,,,
osgitb1.nhn.ou.edu,edu.ou.nhn.osgitb1,,,,2016-03-10,,,,
byggvir.princeton.edu,edu.princeton.byggvir,,,,,2016-03-09,,,
cms-ce1-osg.rcac.purdue.edu,edu.purdue.rcac.cms-ce1-osg,,2016-04-10,,2016-03-10,2016-03-09,,,
cms-ce2-osg.rcac.purdue.edu,edu.purdue.rcac.cms-ce2-osg,,,,2016-03-10,2016-03-09,,,
cmstest1.rcac.purdue.edu,edu.purdue.rcac.cmstest1,,,,2016-03-10,2016-03-09,,,
